type_id;description
2;Abisinio
2;Africano doméstico
2;American Curl o Curl Americano
2;American Curl LH
2;American Polydactyl
2;American Shorthair
2;American Wirehair
2;Angora Turco o Turkish Angora
2;Aphrodite's Giants
2;Asiático Humo
2;Australian Mist
2;Azul Ruso o Gato Arcángel
2;Balinés o Balinese
2;Bengala o Bengalí
2;Bobtail Americano o American Bobtail
2;Bobtail de las Islas Kuriles
2;Bobtail Japonés o Japanese Bobtail
2;Bobtail Japonés LH o Japanese Bobtail LH
2;Bohemian Rex
2;Bombay
2;Bosque de Noruega o Norwegian Forest
2;Brasileño de Pelo Corto
2;Británico de Pelo Corto Azul
2;Británico de Pelo Largo o British Longhair
2;British Shorthair o Britanico de pelo corto
2;Brivon de pelo corto
2;Brivon de pelo largo
2;Burmés, Burmese o Birmano
2;Burmilla
2;California Spangled
2;Céltico de Pelo Corto
2;Ceylon o Ceilán
2;Chantilly, Chantilly-Tiffany o Foreign Longhair
2;Chartreux o Cartujo
2;Chausie
2;Cornish Rex
2;Cymric
2;Deutsch Langhaar
2;Devon Rex
2;Don Sphynx o Donskoy
2;Dorado africano
2;Dragon Li
2;Exotic Shorthair o Gato Exótico de Pelo Corto
2;FoldEx (Exótico de Orejas Dobladas)
2;Gato Color Point
2;Gato Europeo
2;Gato Himalayo
2;Gato Oriental o Oriental Shorthair
2;Gato Oriental de pelo largo o Oriental Longhair
2;Gato Persa
2;Gato Serengeti
2;German Rex
2;Habana Brown
2;Havana
2;Highland Fold
2;Highlander
2;Highlander Shorthair
2;Javanés
2;Khao Manee
2;Korat
2;Kurilian Bobtail 
2;Kurilian Bobtail LH
2;LaPerm
2;LaPerm Shorthair
2;Maine Coon o Mancoon
2;Mandarín
2;Manx, Rumpy o Stubbin
2;Mau Egipcio
2;Minskin
2;Munchkin o Basset Hound Felino
2;Munchkin Longhair
2;Nebelung
2;Neva Masquerade
2;Ocicat o Gato Ocelote
2;Ojos Azules
2;Ojos Azules Longhair 
2;Pelicorto Europeo
2;PerFold (Persa de Orejas Dobladas)
2;Persa Chinchilla
2;Peterbald
2;Piexie Bob, Pixiebob o Pixi Bob
2;Pixiebob Longhair
2;Ragamuffin
2;Ragdoll
2;Ringtail Americano
2;Sagrado de Birmania o Birmano
2;Savannah
2;Scottish Fold o Fold Escocés
2;Scottish Fold LH
2;Selkirk Rex
2;Selkirk Rex Longhair
2;Selkirk Rex Shorthair
2;Seychellois
2;Siamés Moderno o Siamés
2;Siamés Tradicional o Thai
2;Siberiano
2;Singapur o Singapura
2;Skookum
2;Snowshoe
2;Sokoke
2;Somalí o Somalo
2;Sphynx o Gato Esfinge
2;Tiffanie, Tiffany o Asian Semi-longhair
2;Tonkines, Tonquinés o Tonkinese
2;Toyger
2;Van Turco o Turkish Van
2;York Chocolate
